,comuna1,comuna,delta1,L,w,PI,PI_Wr,f,ip,welfare
28,4203,LOS VILOS,0.0,13935.27251477211,4049334.019086916,1.0123088814984689,0.0003513096448071173,1.5425749721985094e-08,3.848995900374413e-08,0.0006175494644290947
29,4204,SALAMANCA,0.0,21856.516596870868,5196400.773802702,0.9539181989914762,0.00034790950403453083,1.7337293290857812e-08,5.892264948260312e-08,0.0006175494644290949
30,4301,OVALLE,0.0,76535.90276030843,4967106.444106333,1.1708563287297928,0.00034503097075603894,6.012388598590061e-08,1.3066485791678637e-07,0.0006175494644290934
31,4302,COMBARBALA,0.0,5205.753684412468,3432484.0129874726,0.7385487294386986,0.00034675412169090893,1.565525012599371e-08,4.091220970312713e-09,0.0006175494644290951
32,4303,MONTE PATRIA,0.0,11492.096430354852,3691342.674265127,0.809270696453858,0.00034392252480626434,2.509557310372819e-08,9.269068588803668e-09,0.0006175494644290984
33,4304,PUNITAQUI,0.0,4345.847428964817,3687296.4585429123,0.7063806973032004,0.00034445434420333294,1.2469567213123873e-08,6.824018704634744e-09,0.0006175494644290954
34,4305,RIO HURTADO,0.0,1957.1897679784845,3123053.7815156984,0.6133465039252218,0.00034362813996117726,9.160341064362179e-09,4.172896431463756e-09,0.0006175494644290932
35,5101,VALPARAISO,0.0,387805.66266031645,5275351.829966029,1.606379574979518,0.00035461436162732607,1.45127099048934e-07,8.539854383260804e-07,0.0006175494644290866
36,5102,CASABLANCA,0.0,33083.17280642618,4569921.888334768,1.1248330851120198,0.00035579860001793757,1.112641592319181e-08,1.660398794472443e-07,0.0006175494644290921
37,5103,CONCON,0.0,94723.50487078479,7803648.035476899,1.4297287515211454,0.0003543283268961878,8.132416835720773e-09,4.324282887657405e-07,0.0006175494644290923
38,5105,PUCHUNCAVI,0.0,23635.113163673952,3859351.2759218807,1.1859532266788528,0.0003539984424378785,1.0379468200700761e-08,1.2116820387970982e-07,0.0006175494644290923
39,5107,QUINTERO,0.0,29826.34210525203,5176096.350830793,1.1448573911407816,0.00035822826187858684,1.5321690888357266e-08,9.631953407953802e-08,0.0006175494644290941
40,5109,VINA DEL MAR,0.0,567437.1690306156,8018337.324038221,1.814941947131583,0.0003544960478322509,3.529772518123472e-08,2.08884051932039e-06,0.0006175494644290923
41,5301,LOS ANDES,0.0,58375.7362576197,6094407.88652283,1.2455513742774946,0.0003554510527682349,3.611413269435314e-08,1.3013924396912807e-07,0.000617549464429095
42,5302,CALLE LARGA,0.0,7922.554835305996,3835639.979515208,0.8713992468656742,0.000355562034097445,1.2525338433677152e-08,1.7887744770203326e-08,0.0006175494644290953
