,comuna1,comuna,Ubar,Abar,L,w_mean
178,8416,SAN CARLOS,0.004267511767580192,0.0024598163401063854,53406,3853234.92
179,8417,SAN FABIAN,0.0010089759415889913,0.0023226543888963057,4094,3377490.0
180,8419,SAN NICOLAS,0.0018854450614168516,0.00212765044597337,11636,3139071.96
181,8420,TREHUACO,0.0011793336660749598,0.0018102149177203948,5277,2721934.08
182,8421,YUNGAY,0.0024259006889655807,0.0030085949889043255,18331,4482920.64
183,9101,TEMUCO,0.008312395963514473,0.003938784208133248,292534,6538623.720000001
184,9102,CARAHUE,0.0026431816287743725,0.0024433391732162613,26467,3740860.08
185,9103,CUNCO,0.0024532628454556433,0.0026918520413903805,18926,4030558.56
186,9104,CURARREHUE,0.0012991744503999029,0.0024389967895089215,7491,3592144.08
187,9105,FREIRE,0.002634681067541501,0.0031211781992504465,24411,4705305.0
188,9106,GALVARINO,0.0019001389588355977,0.0018983536384397054,12469,2877469.68
189,9107,GORBEA,0.0022674509633796858,0.0025016741764120353,15619,3729687.3600000003
190,9108,LAUTARO,0.003112649032059836,0.0035043380522307857,37340,5342885.28
191,9109,LONCOCHE,0.0025053311692143036,0.0025430156962899983,23275,3877788.0
192,9110,MELIPEUCO,0.001026936675885924,0.0027826283931852774,5819,4068995.2800000003
193,9111,NUEVA IMPERIAL,0.0032113543480641864,0.002066310436864744,33653,3207242.6399999997
194,9112,PADRE LAS CASAS,0.004649528190695817,0.002767120195694516,91442,4434105.0
195,9113,PERQUENCO,0.001220555919416876,0.0030836233966277144,7328,4489903.92
196,9114,PITRUFQUEN,0.002772363336229563,0.0028139450760213706,24898,4263935.28
197,9115,PUCON,0.003964471479348736,0.003118673048233583,28609,4533240.0
198,9116,SAAVEDRA,0.0019384672308720477,0.0018219574088531108,12706,2767644.2399999998
199,9117,TEODORO SCHMIDT,0.0019815874495469833,0.0023522698417419515,16125,3550274.2800000003
200,9118,TOLTEN,0.0015648276540147369,0.0024004294579004003,11357,3581249.6399999997
