,comuna1,comuna,Exento,L,w,PI,PI_Wr,f,ip,welfare
4200,8202,ARAUCO,26.0,37661.644237237786,6117530.694006918,0.9541433695046356,0.0003490590982157719,1.1153210683833568e-07,2.760883991482238e-08,0.000663753751904431
4201,8203,CANETE,26.0,33743.28318547477,4087084.8471772354,0.9241461167204417,0.0003481118061115402,1.0553698288658366e-07,1.5225150356546555e-08,0.0006620696506750713
4202,8204,CONTULMO,26.0,5449.132924035232,3640774.6913400507,0.6876648209701882,0.00034829036969460426,4.04498135049457e-08,1.8683908064083116e-09,0.0006601573589384193
4203,8205,CURANILAHUE,26.0,34211.690507161366,4652190.182709934,0.8181904717290313,0.0003488221690362992,1.1597337001876937e-07,1.072811639846449e-08,0.0006646990248384745
4204,8206,LOS ALAMOS,26.0,23846.85953758351,4148329.3051507273,0.7503930142016463,0.0003483530402317556,8.661912714207363e-08,5.334613916271917e-09,0.0006624748313412758
4205,8207,TIRUA,26.0,10379.872933252813,3630171.728748441,0.6530762514399878,0.00034664920660215263,5.421090555296737e-08,1.719622953685281e-09,0.0006607557107180049
4206,8301,LOS ANGELES,26.0,199317.1255416979,5403982.0058151325,1.394083372170777,0.0003519340762008005,3.808127575525866e-07,2.1518808583808007e-07,0.000656484837124678
4207,8302,ANTUCO,26.0,3868.8391343850003,4495537.8278267365,0.7134956007174786,0.000350498999206148,3.3487343375672474e-08,6.008775757839791e-09,0.0006604977537365987
4208,8303,CABRERO,26.0,29031.85614588981,4377791.061798246,0.9597681196619237,0.000352718630162934,7.577656673731965e-08,3.408476109606288e-08,0.0006633105772033296
4209,8304,LAJA,26.0,23641.72944118693,4021546.139424531,0.953241193208625,0.000351464099630006,8.059524179925453e-08,1.922966663613323e-08,0.0006634300155595812
4210,8305,MULCHEN,26.0,29883.93352515122,3775579.526571871,0.9324380757501679,0.0003511051752097641,1.0067965258731438e-07,1.419818248539558e-08,0.000663312460015577
4211,8306,NACIMIENTO,26.0,28095.70219327107,5134375.120864073,0.9817930975932896,0.00035108885504942617,7.14760056579278e-08,4.060945616740842e-08,0.0006628275706401788
4212,8307,NEGRETE,26.0,10332.555508793293,3687741.5542800515,0.7400505606950627,0.0003511180116467065,4.2277065480626234e-08,1.3988201702952789e-08,0.0006612766194661004
4213,8308,QUILACO,26.0,4045.1843691932168,4159665.013495325,0.6601052187825005,0.0003506436594267476,3.514913041736149e-08,2.855043547093674e-09,0.0006599397820354564
4214,8309,QUILLECO,26.0,9770.438882512222,4134468.0801588213,0.7265690826772462,0.00035134591795684935,4.970814571424095e-08,4.714688142535549e-09,0.0006613207017181467
4215,8310,SAN ROSENDO,26.0,3855.7136759812365,4512880.890590446,0.6416395815226187,0.00035140013836816044,3.760049259103688e-08,8.068717414856295e-10,0.0006608017226806865
