,comuna1,comuna,delta2,L,w,PI,f,ip,welfare,PI_Wr
13,3101,COPIAPO,0.625,178882.34691891397,6952574.455597302,1.350958639620938,2.3610902108060157e-07,2.6925600880173324e-07,0.0006664656823932446,0.0003262144873436401
14,3102,CALDERA,0.625,18110.38394103041,4948971.828859735,0.9691697926924501,5.2809237487345084e-08,3.585324590547189e-08,0.0006664656823932467,0.00032399165945176884
15,3103,TIERRA AMARILLA,0.625,17863.495458824626,4873473.062553948,0.8694924929563232,4.2597032476570407e-08,9.50164473673343e-08,0.0006664656823932466,0.00032639677497436393
16,3201,CHANARAL,0.625,13666.6930957262,4968793.115007549,0.8337860880098786,4.7983736868202084e-08,2.506681599660742e-08,0.0006664656823932465,0.00032039238657335847
17,3202,DIEGO DE ALMAGRO,0.625,14661.550190016584,7231178.3645448135,0.9915950527776068,3.90386649537315e-08,4.6570632081408425e-08,0.0006664656823932469,0.0003207262358462663
18,3301,VALLENAR,0.625,53569.404089479685,5576733.84802369,1.0804731465491504,1.382363286295917e-07,4.712697475629168e-08,0.000666465682393246,0.0003314890071249914
19,3302,ALTO DEL CARMEN,0.625,6521.39131975525,4113429.389439802,0.6545685419630822,4.216887765207587e-08,3.368818141321452e-09,0.0006664656823932469,0.0003301022970559682
20,3304,HUASCO,0.625,10599.038548999035,5280515.719823085,0.8298931282121984,4.154489060937757e-08,3.691574624134532e-08,0.0006664656823932467,0.0003297270692798642
21,4101,LA SERENA,0.625,225339.55578689487,6726576.39023249,1.559939892655024,1.5569775657667126e-07,4.4660843903432765e-07,0.0006664656823932561,0.00033830853850907566
22,4102,COQUIMBO,0.625,242196.85428639533,4630176.129846978,1.45195297064994,4.47227497629708e-07,2.769431365026919e-07,0.0006664656823932486,0.00033887248776427346
23,4103,ANDACOLLO,0.625,11560.57141853697,4443950.014816877,0.8140518283511636,4.4925449848511464e-08,2.1265987113536117e-08,0.0006664656823932464,0.0003383985184203236
24,4104,LA HIGUERA,0.625,4728.8613737177775,3645410.8643893953,0.7126313309221045,3.521208162289605e-08,1.3508438327140468e-08,0.0006664656823932467,0.00033620044028594544
25,4106,VICUNA,0.625,26883.486522919495,4143508.583376268,0.904819469317943,9.443273868253479e-08,1.9418867830390693e-08,0.0006664656823932465,0.0003360146246684326
26,4201,ILLAPEL,0.625,32942.07019821729,4633327.985571505,0.9348482244110397,1.0525923266075911e-07,2.2245963283893863e-08,0.0006664656823932467,0.0003447160614683607
27,4202,CANELA,0.625,9915.105123776477,3089994.5035880557,0.7299224864599648,4.9791815515880934e-08,1.183586518091892e-08,0.0006664656823932464,0.0003444875244343757
28,4203,LOS VILOS,0.625,20399.528738093897,4084796.8232356096,1.01236982881083,7.137240180187673e-08,2.3457487875016166e-08,0.0006664656823932465,0.0003469929099695135
29,4204,SALAMANCA,0.625,27525.367705089517,5161417.314083821,0.9539854860080864,6.248888224105245e-08,4.9975821851693583e-08,0.0006664656823932464,0.00034363869092011583
30,4301,OVALLE,0.625,123278.67985924314,5000258.669923576,1.1709144347020723,2.82919393320877e-07,9.64967985701284e-08,0.0006664656823932454,0.0003407871787569905
31,4302,COMBARBALA,0.625,15457.888524569791,3607398.8273604456,0.7385903452014302,7.81228713170435e-08,3.720434888489445e-09,0.0006664656823932469,0.0003424918212592237
32,4303,MONTE PATRIA,0.625,34081.506954749966,3865718.152831415,0.8093170782101393,1.3439769701370557e-07,8.269408895210895e-09,0.0006664656823932464,0.0003396954128376581
33,4304,PUNITAQUI,0.625,10926.96663231286,3861314.859685215,0.706420522058978,5.8465959336620646e-08,6.53920600426173e-09,0.0006664656823932466,0.00034022032476594625
34,4305,RIO HURTADO,0.625,4993.945233691954,3365058.1289959797,0.6133774233604319,4.063655659640246e-08,3.950150911162338e-09,0.0006664656823932465,0.0003394019129496746
35,5101,VALPARAISO,0.625,296111.80457030213,5041068.157655036,1.6064894678479238,2.9039676456191877e-07,5.202067758490698e-07,0.0006664656823932599,0.00035026037271633346
36,5102,CASABLANCA,0.625,29836.74278874393,4420285.2369415825,1.1249104213259535,4.4803491098006366e-08,1.3067098580825416e-07,0.0006664656823932467,0.0003514302116527638
37,5103,CONCON,0.625,51551.264897996036,7202249.0430562785,1.4298315913489015,3.274735259042603e-08,2.076860978759106e-07,0.0006664656823932467,0.00034997928705830865
38,5105,PUCHUNCAVI,0.625,18490.982299271964,3656654.2626500274,1.1860353776933,4.179570621324866e-08,6.912832603969032e-08,0.0006664656823932466,0.0003496523665930618
39,5107,QUINTERO,0.625,28591.870740173068,5033732.920346135,1.144846924544412,5.7035323375452834e-08,6.18048102702987e-08,0.0006664656823932471,0.00035379788440575337
40,5109,VINA DEL MAR,0.625,326874.4614711309,7475957.9473661175,1.8150720225034707,1.4213573596875345e-07,1.091978115057695e-06,0.000666465682393247,0.0003501448429791235
41,5301,LOS ANDES,0.625,68764.87257105099,6009789.809009998,1.2456341407655873,1.3837179892337385e-07,8.843291367684466e-08,0.000666465682393246,0.00035108598774205975
42,5302,CALLE LARGA,0.625,15027.019312246442,3967106.7660756256,0.8714579417613418,5.742385705644494e-08,1.5133512745348913e-08,0.0006664656823932467,0.000351195978000387
43,5303,RINCONADA,0.625,11032.276151178563,4669740.905131287,0.8944989960142593,4.753341574160782e-08,9.56949853165376e-09,0.0006664656823932465,0.0003435167741702491
44,5304,SAN ESTEBAN,0.625,19049.640806639098,4170389.047957158,0.9450700768436441,6.827282757847199e-08,1.3012553483181268e-08,0.0006664656823932464,0.0003507729129879479
45,5401,LA LIGUA,0.625,33896.71810516054,4770665.827657571,1.0420428249076885,1.0036124138322788e-07,3.058598369030891e-08,0.000666465682393247,0.0003492808885894098
46,5402,CABILDO,0.625,20142.136895555795,9730367.355311904,0.8677600256168819,7.437728228614966e-08,1.356685834252936e-08,0.0006664656823932462,0.000348608892180229
47,5403,PAPUDO,0.625,5342.037420370006,5161737.898069535,1.0650833990535389,3.2506043981493807e-08,4.159410450598642e-08,0.0006664656823932462,0.00034877459915733317
48,5404,PETORCA,0.625,10387.850645805427,4501982.188067969,0.7502705560447616,5.1854173075896847e-08,7.097861797443311e-09,0.0006664656823932466,0.000347221930772655
49,5501,QUILLOTA,0.625,95885.11718272336,4953818.205942138,1.2348613326372953,2.325367082145601e-07,8.030382668479237e-08,0.0006664656823932461,0.0003502297861510974
50,5502,LA CALERA,0.625,55577.31947428577,4488982.268003734,1.1134488463234666,1.4119426878144177e-07,5.9525253794744535e-08,0.0006664656823932467,0.00035059635959173345
