comuna1,comuna,idregion,year,lon,lat,w_mean,L,L_workers,IP,IPP,impterritorial,patentescom,percirculacion,patentesmineras,pobres,pobres_pais,h_all,r_all,tax_00,tax_02,tax_04,tax_06,tax_08,tax_10,tax_12,tax_14,tax_16,tax_18,tax_20,tax_22,tax_24,tax_26,tax_28,tax_30,tax_32,tax_33,h_e_00,h_e_02,h_e_04,h_e_06,h_e_08,h_e_10,h_e_12,h_e_14,h_e_16,h_e_18,h_e_20,h_e_22,h_e_24,h_e_26,h_e_28,h_e_30,h_e_32,h_e_33,h_nex_00,h_nex_02,h_nex_04,h_nex_06,h_nex_08,h_nex_10,h_nex_12,h_nex_14,h_nex_16,h_nex_18,h_nex_20,h_nex_22,h_nex_24,h_nex_26,h_nex_28,h_nex_30,h_nex_32,h_nex_33,cod_sii,comuna_sii,sem,_ID,pobreza,v_arriendo
7308,TENO,7,2017,-71.02212394571022,-34.88797906877441,358349.31,28661,12001,3667687,1557367,537985,368913,213257,3986,2622.4814,1591381.6,6724,91702649682,85562851328,74912038912,66695147520,63611641856,62365011968,61662429184,61203054592,60856291328,60585398272,60385980416,60239130624,60105662464,60035334144,59963301888,59907272704,59866206208,59834458112,59821764608,146,688,3098,4798,5230,5403,5484,5528,5566,5598,5616,5634,5641,5648,5657,5663,5667,5669,6578,6036,3626,1926,1494,1321,1240,1196,1158,1126,1108,1090,1083,1076,1067,1061,1057,1055,7102,TENO,1,127,9.15,108391.0696761531
7309,VICHUQUEN,7,2017,-72.02310881984988,-34.84108477329158,429482.44,5118,1424,2402587,1372561,287070,394313,473739,0,876.71338,1591381.6,3138,84282108472,82282790912,78690918400,75303952384,72362868736,69866872832,67920367616,66213421056,64665456640,63237165056,61904785408,60639895552,59186434048,58243006464,57115746304,56049561600,55047118848,54089375744,53626089472,112,169,292,569,813,1022,1117,1179,1236,1281,1303,1329,1348,1379,1408,1435,1455,1469,3026,2969,2846,2569,2325,2116,2021,1959,1902,1857,1835,1809,1790,1759,1730,1703,1683,1669,7106,VICHUQUEN,1,121,17.13,104047.6190476191
7401,LINARES,7,2017,-71.33291856127818,-35.95845282500601,356942.16,91303,38921,11272709,4495619,1086749,1068134,644649,20032,10353.76,1591381.6,32395,569570564029,494731001856,438257975296,383877185536,341433778176,309381038080,285572268032,267342512128,253516267520,242900713472,234533961728,227827220480,221524066304,218090651648,214578331648,211636338688,209169465344,207103410176,206186987520,477,790,4300,10410,15130,18218,20939,22803,24094,25096,25818,26498,26882,27194,27436,27680,27849,27902,31918,31605,28095,21985,17265,14177,11456,9592,8301,7299,6577,5897,5513,5201,4959,4715,4546,4493,7301,LINARES,1,122,11.34,116700.9767554815
7402,COLBUN,7,2017,-70.9788150531009,-36.0770931203383,323203.84,19530,6896,3869161,1256265,282570,427179,133177,51883,4900.0771,1591381.6,6156,54851353804,50822205440,41840082944,34781237248,32009273344,30515253248,29471926272,28717131776,28134778880,27672139776,27293759488,26953947136,26592696320,26380853248,26139502592,25936046080,25762883584,25619302400,25559732224,116,449,2549,3712,4098,4260,4373,4458,4500,4532,4547,4569,4581,4597,4617,4628,4645,4650,6040,5707,3607,2444,2058,1896,1783,1698,1656,1624,1609,1587,1575,1559,1539,1528,1511,1506,7303,COLBUN,1,136,25.09,84555.81395348837
7403,LONGAVI,7,2017,-71.44153628765025,-36.11071692223526,246211.58,29420,10737,3757752,712718,267690,95307,147505,8652,7016.6699,1591381.6,6158,33799460875,28254128128,20518754304,14856667136,12188145664,10746368000,9860651008,9268698112,8850937856,8538173952,8312000512,8149655040,8011355648,7948333568,7893756928,7851515904,7817798144,7789616128,7777462272,155,633,2239,3181,3611,3788,3911,3973,4020,4057,4081,4109,4120,4130,4134,4138,4140,4141,6003,5525,3919,2977,2547,2370,2247,2185,2138,2101,2077,2049,2038,2028,2024,2020,2018,2017,7304,LONGAVI,1,123,23.85,56762.00564971752
7404,PARRAL,7,2017,-71.64595831161577,-36.26200901083629,335868.75,38403,15685,5621894,1897376,515286,382709,340851,13836,6493.9473,1591381.6,13771,179200776003,156299575296,132827701248,110852284416,94571929600,84752678912,78970109952,75460689920,72890105856,70929432576,69401722880,68112990208,66834956288,66113236992,65329999872,64652816384,64070053888,63568220160,63341232128,173,395,2162,5487,8332,9785,10500,10850,11120,11272,11374,11496,11541,11604,11652,11696,11735,11749,13598,13376,11609,8284,5439,3986,3271,2921,2651,2499,2397,2275,2230,2167,2119,2075,2036,2022,7305,PARRAL,1,124,16.91,101246.3295269168
7405,RETIRO,7,2017,-71.83003787008907,-36.00205564212344,290015.66,19688,5233,3050556,792291,249060,225209,84609,108,4431.769,1591381.6,4169,22735124072,18398834688,12437444608,8087326720,6864123392,6441885184,6235399168,6125537280,6063363584,6021576192,5988342272,5965584896,5943031808,5931213312,5918837248,5908836864,5899356672,5891356672,5887483904,94,464,1752,2823,3060,3128,3162,3175,3182,3185,3190,3192,3193,3195,3195,3196,3196,3197,4075,3705,2417,1346,1109,1041,1007,994,987,984,979,977,976,974,974,973,973,972,7306,RETIRO,1,125,22.51,42972.97297297297
7406,SAN JAVIER,7,2017,-71.92777192050461,-35.62933746784241,382662,41181,15459,5637118,2091127,417846,303851,378524,14691,8244.4365,1591381.6,14611,146346873172,126745026560,101112479744,79344058368,68003106816,62132826112,58062684160,55233200128,53131390976,51512328192,50195402752,49069350912,47951372288,47294304256,46556844032,45910401024,45324681216,44806672384,44575088640,217,872,4789,9540,10856,11511,12012,12302,12487,12597,12696,12777,12811,12864,12900,12930,12967,12982,14394,13739,9822,5071,3755,3100,2599,2309,2124,2014,1915,1834,1800,1747,1711,1681,1644,1629,7310,SAN JAVIER,1,126,20.02,97668.16816816817
7407,VILLA ALEGRE,7,2017,-71.68323939792381,-35.68570177833019,318136.06,15274,5732,2384196,651755,157008,53741,107577,139,2996.7588,1591381.6,5309,37743726870,32824500224,23783389184,16405378048,13497581568,12175797248,11330923520,10742932480,10288349184,9912157184,9596506112,9326798848,9043287040,8880790528,8709568512,8561947136,8438901248,8330257920,8280663552,89,464,2223,3889,4234,4400,4496,4545,4581,4604,4623,4642,4658,4671,4683,4693,4699,4703,5220,4845,3086,1420,1075,909,813,764,728,705,686,667,651,638,626,616,610,606,7309,VILLA ALEGRE,1,133,19.62,71156.46258503401
7408,YERBAS BUENAS,7,2017,-71.54408814893551,-35.68889139713299,317482.56,18383,6921,2798431,844717,194475,392518,149972,0,4058.9663,1591381.6,3841,29197381365,25783484416,20466161664,16647095296,15343114240,14775421952,14475522048,14303374336,14199623680,14119618560,14060996608,14015137792,13977067520,13955893248,13932457984,13912457216,13892457472,13874186240,13865186304,103,348,1798,2431,2639,2723,2779,2794,2804,2811,2820,2824,2826,2828,2828,2828,2829,2829,3738,3493,2043,1410,1202,1118,1062,1047,1037,1030,1021,1017,1015,1013,1013,1013,1012,1012,7302,YERBAS BUENAS,1,134,22.08,57410.86999022483
8101,CONCEPCION,8,2017,-72.94920561542693,-36.83427305593519,494308.97,229160,94780,33200329,28901166,10223278,7413084,2434647,4786,17645.32,1591381.6,101423,4628989997911,4018620596224,3881250062336,3745957543936,3614615011328,3489500495872,3370417127424,3260353347584,3157969862656,3061687779328,2973695737856,2893649805312,2805868789760,2750683545600,2686816878592,2629494898688,2577917804544,2531415293952,2510030372864,1490,2122,3508,6332,9510,13052,17778,20705,24371,28488,32309,35152,37191,40191,43431,45988,48474,49563,99933,99301,97915,95091,91913,88371,83645,80718,77052,72935,69114,66271,64232,61232,57992,55435,52949,51860,8201,CONCEPCION,1,151,7.7,218062.1479034747
8102,CORONEL,8,2017,-73.12665969076004,-37.00754219680942,390420.72,117423,43705,15583112,6185355,1261406,2904557,689316,6564,13339.253,1591381.6,38699,469559998906,420219453440,351579701248,298813784064,268193431552,252546334720,245372141568,240569991168,237504626688,235749916672,234421485568,233408806912,232473165824,231956971520,231388938240,230894960640,230468878336,230074073088,229890015232,518,4352,14598,25026,31321,33124,34127,34925,35283,35414,35577,35671,35710,35749,35785,35808,35823,35833,38181,34347,24101,13673,7378,5575,4572,3774,3416,3285,3122,3028,2989,2950,2914,2891,2876,2866,8207,CORONEL,1,153,11.36,117220.0806829015
8103,CHIGUAYANTE,8,2017,-72.99860194627814,-36.90044577510591,483479.5,101243,61270,11432394,3743119,1245083,181122,1043795,399,8818.2656,1591381.6,27820,693160553192,622090452992,573163438080,525551206400,482646687744,446891032576,418788442112,395551703040,375535763456,357704630272,342119022592,328951463936,315092697088,306818646016,297713467392,289533296640,282117963776,275415924736,272303292416,292,295,2019,4782,9008,12274,13903,15305,16476,17702,18608,19380,19854,20453,20875,21225,21569,21742,27528,27525,25801,23038,18812,15546,13917,12515,11344,10118,9212,8440,7966,7367,6945,6595,6251,6078,8211,CHIGUAYANTE,1,149,8.710000000000001,183837.5499334221
8104,FLORIDA,8,2017,-72.71775282261716,-36.82220033804774,290595.44,8742,2912,2227793,350202,69916,34866,93394,3549,1387.3553,1591381.6,2404,11544257029,9600817152,6448446464,4964752384,4232069632,3783734528,3493600256,3297107456,3167414016,3083062528,3018493696,2964841728,2910881024,2882524416,2857074432,2836031488,2817968896,2800887040,2792887040,78,530,1298,1492,1591,1657,1691,1723,1739,1745,1749,1755,1760,1762,1764,1765,1766,1766,2326,1874,1106,912,813,747,713,681,665,659,655,649,644,642,640,639,638,638,8204,FLORIDA,1,170,15.87,114340.4471544715
8105,HUALQUI,8,2017,-72.87011963430881,-37.04453752397333,287977.38,26243,8938,4108475,672559,69240,291544,109078,2881,3387.9712,1591381.6,6876,37918193378,29903355904,19488591872,14577477632,12277770240,10741731328,9665474560,8890825728,8348884480,7956609536,7695365632,7522790400,7381714944,7315660800,7251640320,7203206656,7167798784,7142385152,7130423296,94,2314,4668,5154,5459,5640,5774,5857,5931,5989,6018,6045,6055,6065,6071,6076,6080,6081,6782,4562,2208,1722,1417,1236,1102,1019,945,887,858,831,821,811,805,800,796,795,8203,HUALQUI,1,150,12.91,121729.6222664016
8106,LOTA,8,2017,-73.10500055597612,-37.11953326882302,347059.88,47235,16635,7286865,1444006,94056,419105,181222,784,8563.7051,1591381.6,12967,66194943400,47935918080,31970301952,26551541760,24099051520,23122335744,22639806464,22330361856,22125574144,21986369536,21875974144,21782267904,21692534784,21644126208,21594685440,21552257024,21512495104,21478500352,21463500800,331,8045,10607,11658,12027,12162,12230,12263,12290,12300,12307,12318,12324,12327,12330,12331,12335,12335,12636,4922,2360,1309,940,805,737,704,677,667,660,649,643,640,637,636,632,632,8208,LOTA,1,160,18.13,100663.6155606407
8107,PENCO,8,2017,-72.94339370848149,-36.74785848020969,328367.75,52098,23578,6343358,2310742,462520,886807,271446,12438,4475.2183,1591381.6,12393,207799630350,181718679552,159752945664,141497827328,130574123008,124434407424,120264843264,117509120000,115551150080,114042445824,112845119488,111888719872,110976303104,110485397504,109976059904,109550403584,109196656640,108895436800,108762021888,294,782,4250,7482,8977,9686,10326,10581,10771,10910,11008,11107,11159,11211,11247,11281,11299,11312,12099,11611,8143,4911,3416,2707,2067,1812,1622,1483,1385,1286,1234,1182,1146,1112,1094,1081,8202,PENCO,1,165,8.59,138866.2450222535
8108,SAN PEDRO DE LA PAZ,8,2017,-73.10110214503385,-36.88552734668338,672698.63,139570,43998,13083266,8794332,2614218,1539149,1373649,2020,16985.67,1591381.6,51460,1539051684997,1375880478720,1289329442816,1208139120640,1133215350784,1073669931008,1022991728640,975951757312,931998334976,890960281600,854168633344,820711849984,788049362944,769393819648,748514770944,730014482432,713592995840,698575159296,691765313536,405,755,3878,10524,16356,19521,20885,22541,24014,25949,28676,31395,32691,33875,35083,35862,36629,37090,51055,50705,47582,40936,35104,31939,30575,28919,27446,25511,22784,20065,18769,17585,16377,15598,14831,14370,8210,SAN PEDRO DE LA PAZ,1,154,12.17,208165.477807971
