comuna1,comuna,idregion,year,lon,lat,w_mean,w_low,w_up,L,L_workers,IP,IPP,impterritorial,patentescom,percirculacion,patentesmineras,pobres,pobres_pais,h_all,r_all,tax_12,tax_14,tax_16,tax_18,tax_20,tax_22,tax_24,tax_26,tax_28,tax_30,tax_32,h_e_12,h_e_14,h_e_16,h_e_18,h_e_20,h_e_22,h_e_24,h_e_26,h_e_28,h_e_30,h_e_32,h_nex_12,h_nex_14,h_nex_16,h_nex_18,h_nex_20,h_nex_22,h_nex_24,h_nex_26,h_nex_28,h_nex_30,h_nex_32,pob_porcentaje,v_dividendo,v_arriendo
5109,VIA DEL MAR,5,2017,-71.51542362745253,-33.02748367178311,622443.8,575901.6,668985.9,326760,123011,73813780,68405525,16208188,9605018,3340905,0,32055.156,2086396.9,197066,7540959577850,5378252210176,5200556326912,5037415727104,4889070010368,4754249875456,4605066870784,4510527258624,4398550351872,4292179394560,4191959646208,4099207069696,33176,40040,47454,54693,60204,65036,67472,70626,73506,76939,80541,163890,157026,149612,142373,136862,132030,129594,126440,123560,120127,116525,9.81,368701.3930523717,245479.3810345359
5301,LOS ANDES,5,2017,-70.24292637964096,-32.95050714477811,500821.2,436466.6,565175.7,68734,33118,9011677,3850742,766503,1311189,559449,156915,3649.7754,2086396.9,24468,533408650143,257019871232,237687603200,222464229376,210506579968,201267544064,192664944640,188150988800,183739727872,180266139648,177457004544,175298428928,11671,13574,15549,17013,18168,19106,19761,20301,20725,21021,21277,12797,10894,8919,7455,6300,5362,4707,4167,3743,3447,3191,5.31,152651.5668139903,188154.2186263301
5302,CALLE LARGA,5,2017,-70.5440441816861,-32.95031595197307,330598.3,290186.5,371010.2,15021,4252,2329721,886188,143291,102927,430449,29924,2352.2886,2086396.9,4426,43784582258,16636425216,15745432576,14953016320,14213712896,13512832000,12723343360,12280636416,11887727616,11541806080,11213246464,10905378816,3420,3484,3519,3538,3559,3579,3672,3718,3731,3740,3749,1006,942,907,888,867,847,754,708,695,686,677,15.66,232522.5225225225,130682.4542518837
5303,RINCONADA,5,2017,-70.70584219820051,-32.87610173272647,389153,333885.6,444420.4,11028,3718,5345465,4150835,260857,31310,152904,17743,1664.1252,2086396.9,3455,59995447659,38973923328,38059065344,37239377920,36478681088,35753144320,34919407616,34390478848,33766871040,33192677376,32668235776,32181637120,2245,2301,2344,2361,2375,2394,2411,2431,2457,2484,2495,1210,1154,1111,1094,1080,1061,1044,1024,998,971,960,15.09,163925.4843517139,118351.5283842795
5304,SAN ESTEBAN,5,2017,-70.34832200159501,-32.68642947142305,347540.5,280539.3,414541.7,19043,7281,2830632,1057017,255277,123671,199608,149818,2766.948,2086396.9,6638,77756238303,36963172352,34808770560,32908154880,31241603072,29738395648,28067461120,27104749568,26068529152,25187233792,24494137344,23888406528,4396,4516,4637,4736,4803,4875,4949,5074,5133,5209,5239,2242,2122,2001,1902,1835,1763,1689,1564,1505,1429,1399,14.53,133876.298394712,170613.2075471698
5401,LA LIGUA,5,2017,-71.27126079135735,-32.35379203227242,397563.1,319804.1,475322,33884,14684,5508278,2030352,414325,426774,243290,60815,5987.3027,2086396.9,14248,157936999787,73621504000,70999810048,69094809600,67709722624,66723733504,65831550976,65338814464,64799465472,64325644288,63911149568,63545274368,8780,9283,9598,9798,9956,10050,10092,10125,10157,10184,10202,5468,4965,4650,4450,4292,4198,4156,4123,4091,4064,4046,17.67,89795.04289799809,223723.8295081967
5402,CABILDO,5,2017,-70.82344196915253,-32.41702908575041,810879.4,80770.02,1540989,20135,7206,2864420,811998,115875,219643,159117,148948,4339.0923,2086396.9,5805,44427365691,14848610304,14426822656,14149049344,13943778304,13776749568,13623377920,13544243200,13460597760,13392821248,13334226944,13284435968,4653,4750,4807,4829,4845,4867,4876,4885,4892,4895,4899,1152,1055,998,976,960,938,929,920,913,910,906,21.55,,141265.5130221989
5403,PAPUDO,5,2017,-71.38035366083713,-32.47471337323213,430147.4,291726.2,568568.7,5340,2690,3106457,2090461,333163,479390,445759,6347,281.952,2086396.9,7151,185643284918,124361359360,118075080704,112265314304,106851508224,102313443328,97697980416,94813806592,91481604096,88373780480,85447933952,82675531776,1583,1707,1972,2295,2751,2952,3057,3169,3297,3361,3473,5568,5444,5179,4856,4400,4199,4094,3982,3854,3790,3678,5.28,250000,165464.4808743169
5404,PETORCA,5,2017,-70.869919295545,-32.19039784322743,375174.4,328228.9,422120,10384,3635,2176528,605518,48581,88130,153171,132807,2126.6433,2086396.9,3685,16451140301,3742022400,3581486080,3459666176,3372066048,3309252096,3256826624,3225462784,3191878656,3163496192,3138576640,3114658304,3028,3052,3071,3085,3097,3101,3105,3107,3108,3110,3111,657,633,614,600,588,584,580,578,577,575,574,20.48,,75816.83168316832
5501,QUILLOTA,5,2017,-71.27205401605934,-32.90442797152361,412826.3,374818.6,450834.1,95852,36038,11649603,5374851,1030471,1084343,667746,13469,10112.386,2086396.9,29606,509372325017,220526198784,205902921728,195696050176,188595879936,183033298944,177628528640,174572650496,171380998144,168682029056,166314328064,164228136960,18925,21229,23270,24457,25043,25456,25756,26080,26251,26400,26560,10681,8377,6336,5149,4563,4150,3850,3526,3355,3206,3046,10.55,173847.3633960047,153987.3623932468
5502,CALERA,5,2017,-71.15666098704746,-32.79343073416531,374088.1,325570.1,422606.1,55555,18558,7188283,3142006,451824,1034141,271762,3267,11005.445,2086396.9,15625,245466058366,116651393024,113358397440,111309996032,109718093824,108393840640,107063123968,106289987584,105458352128,104728936448,104076386304,103482441728,12634,13392,13714,13870,13990,14084,14136,14206,14250,14281,14308,2991,2233,1911,1755,1635,1541,1489,1419,1375,1344,1317,19.81,138144.0236275191,122927.6663796285
5503,HIJUELAS,5,2017,-71.08103459281962,-32.86892794505992,351458.9,307890.4,395027.4,18212,7019,2851312,1149990,252337,359549,204836,9626,1615.4044,2086396.9,3803,40244672882,24728240128,24176179200,23724406784,23343005696,23030253568,22721767424,22550790144,22376024064,22241423360,22126436352,22027016192,2618,2664,2708,2743,2771,2802,2817,2839,2854,2863,2869,1185,1139,1095,1060,1032,1001,986,964,949,940,934,8.869999999999999,160000,103474.352194606
5504,LA CRUZ,5,2017,-71.2406019294494,-32.8249020355393,369943.4,320288.1,419598.6,20189,6752,2809752,1140642,207205,65417,364377,527,1209.321,2086396.9,6891,108263662648,46259740672,42518425600,39989235712,38045081600,36467826688,35080220672,34308874240,33414957056,32593068032,31876913152,31258970112,4135,4834,5277,5521,5695,5878,5910,5948,5987,6051,6105,2756,2057,1614,1370,1196,1013,981,943,904,840,786,5.99,95421.37718396711,152059.5655220743
5506,NOGALES,5,2017,-71.17632021700867,-32.6911239443379,304975.4,274217.7,335733.1,23925,10318,3144252,1048122,255179,232371,178602,57353,3849.5325,2086396.9,5389,83797131295,42071744512,41156915200,40472555520,39930470400,39551832064,39220256768,39063646208,38922182656,38808182784,38718640128,38645510144,4473,4638,4708,4797,4857,4904,4941,4959,4969,4980,4990,916,751,681,592,532,485,448,430,420,409,399,16.09,179466.1921708185,98224.58270106222
5601,SAN ANTONIO,5,2017,-71.48877854718266,-33.66460388810686,350952.6,329768,372137.3,97481,39625,15812116,8399409,1916235,2898767,535866,15415,7515.7852,2086396.9,30111,825005019477,493525270528,485161205760,479016878080,474457309184,470822518784,467312508928,465406328832,463546613760,462178418688,461173522432,460382797824,21839,22980,23994,24584,24935,25298,25494,25781,26018,26145,26227,8272,7131,6117,5527,5176,4813,4617,4330,4093,3966,3884,7.71,160598.6257073565,162834.8222391893
5602,ALGARROBO,5,2017,-71.599328185384,-33.32938497750783,613304.9,459505.1,767104.7,10700,6308,5602538,4679147,1706450,692070,260369,1723,461.17001,2086396.9,25535,868142249412,682095869952,656478765056,631966662656,608427442176,586139107328,561306861568,545717813248,527494283264,510551588864,494785888256,480368066560,1570,2239,2691,3235,3903,4743,5283,5914,6534,7138,7875,23965,23296,22844,22300,21632,20792,20252,19621,19001,18397,17660,4.31,227933.2400101807,201951.7979452055
5603,CARTAGENA,5,2017,-71.44212493288271,-33.53334122420122,329403,288562.9,370243.2,20563,12535,8391605,1147277,212563,188029,113097,6678,2726.6538,2086396.9,10936,114822726040,43537928192,42041683968,41013260288,40251613184,39682887680,39157260288,38870626304,38558265344,38286106624,38047584256,37835878400,7927,8236,8412,8519,8600,8658,8678,8703,8723,8735,8749,3009,2700,2524,2417,2336,2278,2258,2233,2213,2201,2187,13.26,113023.5602094241,132082.0955981637
5604,EL QUISCO,5,2017,-71.65162839346051,-33.41519592543338,325450.2,282855.9,368044.4,13641,8163,10580663,1916390,507519,153791,119155,364,1117.1979,2086396.9,15702,256565691731,125379485696,115222593536,107493875712,102005178368,97985986560,94524416000,92803227648,91102445568,89769820160,88679276544,87779033088,6620,7892,9061,10048,10657,11169,11414,11615,11767,11866,11957,9082,7810,6641,5654,5045,4533,4288,4087,3935,3836,3745,8.19,500000,160632.1022727273
5605,EL TABO,5,2017,-71.580734903105,-33.48248344528701,449147.9,308625.3,589670.4,10592,5773,7134996,999062,171795,133634,111296,7067,1423.5648,2086396.9,13931,151874558183,62289436672,57769873408,54234693632,51746488320,50021273600,48407302144,47535276032,46822735872,46224748544,45702041600,45317181440,8381,9005,9549,9972,10231,10390,10515,10671,10704,10764,10835,5550,4926,4382,3959,3700,3541,3416,3260,3227,3167,3096,13.44,111625,200545.6657730116
5606,SANTO DOMINGO,5,2017,-71.67591829375058,-33.80932868327491,529897.6,443392.8,616402.4,9552,3866,9869013,8941001,1677939,6094575,416609,3453,516.76318,2086396.9,7168,484056256489,391748222976,383891734528,376501731328,369234313216,362157080576,353829355520,348321284096,341631795200,335065743360,328598355968,322199683072,617,901,1002,1045,1148,1210,1254,1348,1402,1439,1474,6551,6267,6166,6123,6020,5958,5914,5820,5766,5729,5694,5.41,120653.3166458073,285546.218487395
5701,SAN FELIPE,5,2017,-70.75263111396883,-32.73605043701203,459211.2,414022.8,504399.7,74812,33937,9698826,4430912,702000,1159009,544050,19303,10638.267,2086396.9,27482,399213176817,163268935680,155021393920,148251639808,142969470976,138578247680,134386982912,132168654848,129846206464,127949635584,126375632896,125045997568,20730,21362,22300,22806,23229,23701,23952,24169,24336,24490,24587,6752,6120,5182,4676,4253,3781,3530,3313,3146,2992,2895,14.22,131873.9189627228,147343.9798747525
5702,CATEMU,5,2017,-70.94463713604546,-32.70692657961814,296297.3,267585.7,325009,14151,4645,2170154,470396,119278,93165,104982,48473,2895.2947,2086396.9,4651,41734483927,23971868672,23812347904,23716902912,23650060288,23596132352,23552589824,23536162816,23519406080,23506311168,23497674752,23490983936,3748,3781,3811,3816,3823,3835,3836,3838,3841,3842,3844,903,870,840,835,828,816,815,813,810,809,807,20.46,,104611.1619396157
5703,LLAILLAY,5,2017,-70.90151641273843,-32.88776320916322,354921.5,303134.1,406708.9,24955,9599,3449945,1315967,162612,253838,146074,15638,4140.0347,2086396.9,8067,62840652891,23510147072,23015968768,22697078784,22471796736,22290827264,22127536128,22055440384,21980356608,21914546176,21865306112,21825263616,6421,6513,6587,6615,6635,6665,6676,6680,6686,6695,6698,1646,1554,1480,1452,1432,1402,1391,1387,1381,1372,1369,16.59,171566.265060241,68330.19755409218
5704,PANQUEHUE,5,2017,-70.82858759944314,-32.7932124709373,391801.6,348791.7,434811.4,7387,3094,1916296,771356,155452,94324,145117,4900,1208.5132,2086396.9,1887,35544584622,26275883008,26104702976,25968412672,25849821184,25740834816,25621393408,25546938368,25463394304,25390327808,25323984896,25267466240,1405,1426,1438,1446,1450,1454,1457,1464,1466,1471,1475,482,461,449,441,437,433,430,423,421,416,412,16.36,87000,190815.6028368794
5705,PUTAENDO,5,2017,-70.52155486935231,-32.48117958661579,279053.1,250069.5,308036.7,16533,7574,2738944,561153,76931,49210,98356,151756,2992.4729,2086396.9,5198,32932032035,6847821312,6357832192,5971728384,5665946112,5426235904,5186643456,5053301248,4907595776,4791965696,4692465152,4606507520,4307,4371,4407,4448,4473,4495,4506,4515,4530,4536,4543,891,827,791,750,725,703,692,683,668,662,655,18.1,101953.801732435,118854.1281007034
5706,SANTA MARA,5,2017,-70.60960023577292,-32.68575193249879,338365.7,296712,380019.4,16005,6200,2417030,604394,156404,57090,190114,3715,2956.1235,2086396.9,4879,31444181031,9866092544,9490923520,9215543296,8981843968,8781058048,8580893696,8460640768,8325106688,8204517888,8093966336,7997856256,4241,4308,4335,4352,4369,4384,4388,4397,4403,4410,4417,638,571,544,527,510,495,491,482,476,469,462,18.47,83476.19047619047,127392.5501432665
